trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
58,False,"{'a': 0.002, 'e': 0.8922579558824083}",30,12,-24.58489263082937,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 0}",1
59,False,"{'a': 0.002, 'e': 0.8904752232974726}",20,0,-120.52306640067437,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
60,False,"{'a': 0.002, 'e': 0.8886960526146174}",20,0,-110.67271701156481,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
61,False,"{'a': 0.002, 'e': 0.8869204367171575}",20,0,-17.840506233597214,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
62,False,"{'a': 0.002, 'e': 0.8851483685026271}",30,0,-143.59389154183708,"{0: 18, 1: 3, 2: 5, 3: 3, 4: 1}",0
63,False,"{'a': 0.002, 'e': 0.8833798408827509}",20,0,-144.91370655525756,"{0: 9, 1: 1, 2: 7, 3: 2, 4: 1}",0
64,False,"{'a': 0.002, 'e': 0.8816148467834161}",25,0,-55.8887633524718,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
65,False,"{'a': 0.002, 'e': 0.8798533791446438}",25,15,-39.14014769426801,"{0: 5, 1: 0, 2: 5, 3: 0, 4: 0}",1
66,False,"{'a': 0.002, 'e': 0.8780954309205613}",20,6,-123.8322903515915,"{0: 6, 1: 1, 2: 5, 3: 0, 4: 2}",1
67,False,"{'a': 0.002, 'e': 0.8763409950793732}",25,0,-104.50879701536815,"{0: 12, 1: 6, 2: 5, 3: 2, 4: 0}",0
68,False,"{'a': 0.002, 'e': 0.874590064603334}",20,0,-80.18011213750668,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
69,False,"{'a': 0.002, 'e': 0.8728426324887193}",20,0,-71.89988840273304,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
70,False,"{'a': 0.002, 'e': 0.8710986917457983}",25,9,-19.42447353408831,"{0: 12, 1: 2, 2: 1, 3: 1, 4: 0}",1
71,False,"{'a': 0.002, 'e': 0.8693582353988059}",30,0,-120.01714865843633,"{0: 20, 1: 3, 2: 3, 3: 3, 4: 1}",0
72,False,"{'a': 0.002, 'e': 0.867621256485914}",25,0,-134.05102445713118,"{0: 12, 1: 6, 2: 4, 3: 2, 4: 1}",0
73,False,"{'a': 0.002, 'e': 0.865887748059205}",25,17,-19.855778470319816,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
74,False,"{'a': 0.002, 'e': 0.8641577031846428}",20,0,-118.43775202197274,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
75,False,"{'a': 0.002, 'e': 0.8624311149420455}",20,0,-32.0915616553852,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
76,False,"{'a': 0.002, 'e': 0.8607079764250578}",25,0,-103.89502861062212,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
77,False,"{'a': 0.002, 'e': 0.8589882807411234}",25,0,-232.13949387240595,"{0: 10, 1: 2, 2: 9, 3: 1, 4: 3}",0
78,False,"{'a': 0.002, 'e': 0.8572720210114575}",20,0,-75.70134296294925,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
79,False,"{'a': 0.002, 'e': 0.8555591903710185}",20,0,-105.06965150681745,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
80,False,"{'a': 0.002, 'e': 0.8538497819684817}",20,0,-59.45175576073716,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
81,False,"{'a': 0.002, 'e': 0.8521437889662113}",20,12,1.7827303479343788,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
82,False,"{'a': 0.002, 'e': 0.850441204540233}",20,0,-76.26477626010157,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
83,False,"{'a': 0.002, 'e': 0.8487420218802068}",20,0,-251.78783930915338,"{0: 10, 1: 3, 2: 1, 3: 0, 4: 6}",0
84,False,"{'a': 0.002, 'e': 0.8470462341893996}",20,0,-27.782784078511945,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
